term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
factor(wu_f)4,-0.1264807296545304,0.16617926151459486,-0.7611101921007278,0.4470143357784385,471,0.2007440426325814,A,6,female
factor(wu_f)5,-0.09827208589947463,0.16606642224541304,-0.5917637326722682,0.5543241968154227,471,0.2007440426325814,A,6,female
factor(wu_f)7,0.0914188080196871,0.15002608826120659,0.6093527404415168,0.5426170280438148,471,0.2007440426325814,A,6,female
factor(wu_f)8,0.2655313943157913,0.168632648900752,1.5746143824857346,0.11609131199873801,471,0.2007440426325814,A,6,female
factor(wu_f)9,0.09939266063449859,0.25466231157490526,0.39029199106780144,0.6965166452981759,471,0.2007440426325814,A,6,female
calories,-1.2440858454586582e-4,2.5790928067435573e-4,-0.48237343076827066,0.6297896156751008,471,0.2007440426325814,A,6,female
carbs,-3.088304147582813e-5,0.0011344700609980263,-0.027222438509006946,0.9782951267650908,471,0.2007440426325814,A,6,female
fat,2.972859593201826e-4,0.0022215149965042168,0.13382127052394097,0.8936074005279169,471,0.2007440426325814,A,6,female
protein,0.004332730853804718,0.0026700092226020797,1.6227400329285075,0.10538823902835957,471,0.2007440426325814,A,6,female
diet_guide,-0.04080015585838061,0.06293368611021792,-0.6483039271992729,0.5171393254821479,471,0.2007440426325814,A,6,female
diet_hifat,0.003414324438118821,0.12418290719511628,0.027494318785388328,0.9780784068711361,471,0.2007440426325814,A,6,female
diet_hlthy,0.5283910942856409,0.4867055138078018,1.0856484656434375,0.27825140216340616,471,0.2007440426325814,A,6,female
bmi_over:edu_years,0.020905804615816998,0.014941752977058975,1.399153409102333,0.16249809378952051,471,0.2007440426325814,A,6,female
(Intercept),2.518399697273922,1.0182308357095857,2.4733092035254436,0.013803427684611949,471,0.22216766178497982,A,7,female
height,0.016292020094507458,0.00501322532089057,3.249808067995092,0.001253008633331007,471,0.22216766178497982,A,7,female
bmi_under,0.040643853573080924,0.06522921053247406,0.6230928328167726,0.5335803962800283,471,0.22216766178497982,A,7,female
bmi_over,-0.11929905338725463,0.06328823394409809,-1.8850115724927698,0.060156562508549734,471,0.22216766178497982,A,7,female
edu_years,0.028441407141650943,0.011903205808010424,2.389390522216369,0.0173411102118484,471,0.22216766178497982,A,7,female
hlth_exc,0.20613261481572992,0.12432187833572823,1.658055827141493,0.09809409442489779,471,0.22216766178497982,A,7,female
hlth_good,0.17942568904263081,0.1114459267112366,1.609979784254781,0.10819507719112381,471,0.22216766178497982,A,7,female
hlth_fair,0.15038372840266867,0.12708344896023635,1.183346294368536,0.2373782650221608,471,0.22216766178497982,A,7,female
married,-0.04343444935936602,0.09797073867810556,-0.4433410418806276,0.6577599671660852,471,0.22216766178497982,A,7,female
