term,estimate,std.error,tau,panel,gender,n_obs
province_f52:cohort_f4,-0.06088525915696854,0.3700299192274132,0.7,A,female,471
province_f21:cohort_f5,0.2629003024692956,0.4332039078991985,0.7,A,female,471
province_f23:cohort_f5,-0.2859177699212742,0.3184307969572242,0.7,A,female,471
province_f32:cohort_f5,-0.030871574211212872,0.3718832027109201,0.7,A,female,471
province_f37:cohort_f5,-2.9295580264531966,1.647633600233683,0.7,A,female,471
province_f41:cohort_f5,0.6374952518070851,0.5382637073484724,0.7,A,female,471
province_f42:cohort_f5,-0.07715917319717613,0.5962519592698148,0.7,A,female,471
province_f43:cohort_f5,1.0274843482843499,0.57451287733726,0.7,A,female,471
province_f45:cohort_f5,-0.20368887273062797,0.4946880656165569,0.7,A,female,471
province_f52:cohort_f5,0.49812995633688234,0.4732565643047246,0.7,A,female,471
(Intercept),4.532999042302638,1.462337756913556,0.8,A,female,471
height,0.009571479185284261,0.007213850424675126,0.8,A,female,471
bmi_under,0.02473071114342099,0.07696256881246395,0.8,A,female,471
bmi_over,-0.0701826069102892,0.08629025552765063,0.8,A,female,471
edu_years,0.02115161763932514,0.014178116530209934,0.8,A,female,471
hlth_exc,0.25338046700854044,0.27433869868364674,0.8,A,female,471
hlth_good,0.23291303697296556,0.25988984663572823,0.8,A,female,471
hlth_fair,0.13871943181986485,0.2658257696381252,0.8,A,female,471
married,-0.105517241357003,0.12972537037227932,0.8,A,female,471
divorced,-0.1384323628326301,0.1726943187328072,0.8,A,female,471
widowed,-0.24760279815422004,0.4079156266905617,0.8,A,female,471
